time,phoneme,F1,F2,F3
449.67932186872514,a,698.1091953737022,1555.9505023799131,2168.390584097364
450.88981591912636,a,634.14009157714,1537.702302651936,2417.5861264331083
451.9977021364342,a,677.7156024642911,1610.8315578179313,2957.561426664764
564.761787870995,a,669.9052403919598,1526.1193677156077,2014.7987866052927
565.8702038581482,a,653.6780804749863,1348.607104361019,2306.0553527333673
566.9171360617304,a,670.646633347937,1588.820252870235,2553.7158874978268
757.18302648964,a,649.7986983429017,1638.7439083727102,2284.247059550429
758.4736441470225,a,608.7031164417399,1789.981394762371,2124.7111250421435
824.5739020472558,a,715.2021009057904,1684.4100869435954,2526.032706025884
825.7702935508017,a,722.2192112014162,1716.6581038323905,3034.532017630988
826.9201018124782,a,626.795824534149,1698.4390627892328,2658.4387866462266
851.3915987644618,a,668.2696699474147,1639.092466421782,2286.3554634022653
852.5917980856189,a,659.1771019799305,1644.477070268305,2453.2804791610365
875.0117853145448,a,725.6359074123977,1639.3650839829215,1897.9754950882982
876.2675302726739,a,664.0082636393084,1694.2423814276394,2191.434559800322
877.3144723744305,a,611.7327854546326,1685.7957739800465,2149.5431858424
902.1165668789597,a,617.3826767111646,1592.6784980118211,2351.9779202688574
903.271496262498,a,603.1066346542659,1614.8441917347295,2098.850983608407
904.3628358878528,a,598.1458080127433,1581.1518402371844,2460.229742794113
965.7212423531303,a,757.6218331489358,1863.3347594698232,2376.0696709321696
966.8153197666234,a,712.0200499802784,1677.8632038042176,2005.9291944991141
967.7072851693795,a,718.0693183041445,1763.6477633387296,2407.4842797388555
1253.5406075675176,a,744.5945392233299,1541.3084884900547,2441.089426652902
1254.4942866932824,a,711.5424753526585,1553.2858719864362,1945.4570682624242
1255.314903747033,a,712.006922092625,1596.0167278473148,2563.96273757055
1278.9483216962874,a,700.4790880676355,1547.3736285074292,2374.101151042538
1279.987525131406,a,646.2889316743681,1598.0536954525812,1934.5950454293975
1280.9712046532848,a,671.6981230492397,1584.2840499526778,2746.567386057992
1356.2746739353752,a,773.1730146199101,1548.5804293858312,2679.948748605827
1357.452132608722,a,656.594738931908,1592.465835994246,2860.162564153226
1403.777219097692,a,696.3986949625274,1604.0347182268529,2670.2635522992755
1404.9993301825787,a,674.8194785670258,1594.229933089822,2368.8552787265457
1406.068287239505,a,620.4556979944475,1540.9773626770943,1995.3520657895208
0.8001024787819523,a,646.8902363411384,1580.6342428414084,1808.927023220085
2.083290267573615,a,715.5630027808217,1600.0371924477913,2354.3148320666064
3.275815577583332,a,619.9156096402785,1601.7137213662247,2383.906521187276
109.84801302950842,a,724.7749100673797,1576.0758847913685,1925.0860232045343
110.78593701563267,a,658.6251891865795,1547.1466280748648,2114.5940322279353
111.64708590821736,a,573.7915222838275,1526.0441658331533,2367.202370187859
135.0919384704839,a,669.6586589709541,1585.899560862188,2433.8889152150387
136.15992356877047,a,586.8332519215878,1577.10155993065,2238.5691064970797
137.1624008356684,a,495.48302128415156,1620.6624601005628,1942.7490905983484
139.62151849613304,a,506.42231229446395,1614.1833037582207,2136.0628341821553
140.70088375041666,a,591.253760938589,1623.2487084965449,2401.479858328733
