time,phoneme,F1,F2,F3
4.349782312925154,,257.76829397488115,1394.148296585065,2610.620741050871
8.747912587250497,ɩ,330.62582424405946,2524.4858662894644,2908.2549744027133
8.868662095670555,,249.2390008233241,1620.870518555894,2772.3589675274097
8.989823868234414,ɔ,326.3739893333882,1035.682588287475,2638.171395479352
9.429074359814358,,519.2046295058633,1505.4134989643662,2439.032277876857
9.872224709861662,ɩ,313.4838029912586,2469.4785542956256,3114.888167493625
9.986204471451064,,254.8181974154235,1438.5810419203729,2656.6140249396017
10.099239539757592,ɔ,311.1600802898407,1104.901132248081,2480.4057892941337
10.44525977816819,,1351.27449801549,2055.6221797649223,3160.0799017346185
10.794561708915587,ɩ,298.2266461518769,2443.871475307303,3577.608048119418
10.913833634743401,,210.67863520215695,1793.4069194037684,2302.540182514624
11.022435955273203,ɔ,324.9628782610134,994.9569194090415,2530.030536270322
19.52250048507453,,323.4779118385589,1170.3327169597985,2592.6718500587385
28.03083024250121,i,275.6451070197583,2505.517382623032,3127.9920954898303
28.155639797089666,,286.6410610883392,1122.8975570939542,2681.5932108626284
28.27102976265258,u,257.21877744862,1231.8513040948128,2614.40948221547
28.702883752434985,,1280.0945594606596,2349.5023257083367,3166.590526478783
29.136521204847476,i,261.6090501599247,2427.1707912789784,3024.745493434293
29.25997435905751,,266.4332873252371,1218.7880519976868,2689.173955159363
29.379289153381063,u,278.20566735017735,1036.898856154593,2632.8057780504896
29.755835999171033,,1232.6021552334216,2198.1190334193275,3534.9977891646963
30.126313658962893,i,274.3377823636934,2416.205404042123,2823.143536386357
30.2423297346488,,257.04456749878045,1084.2885526166249,2644.44483202598
30.354995407307264,u,303.50774713240315,1192.136277443077,2518.2373469778295
52.25497933162137,,1105.4253931748142,1991.5858683597717,3314.02319524994
74.18650728772354,ɩ,310.39183229105794,2122.227208469395,2525.099492084369
74.30362797797899,,332.42369034947137,2190.9508758533434,2937.781255003468
74.41062958403386,ɩ,308.6687817532791,2049.7235865152657,2931.165311017884
74.86550889377841,,1004.2208908669063,2297.730964303634,2972.401199795642
75.32779838630444,ɩ,315.1549951744016,2399.4516380608475,3469.758454292337
75.43408347088342,,313.78933743343794,2434.143311516047,3582.3859306884674
75.53160392197141,ɩ,302.94695426725195,2460.787087463859,3690.1065480122816
