vowel,duration,word,syl_num,syl_in_word,par?_of_word,par?_of_speech,first,final,nasal,,СРЗНАЧ,СТАНДОТКЛОН
o,0.089647022, ogo ,1,2,pref,N,yes,no,not nasal,,,
?,0.056917713, ol?n,2,2,,,no,no,nasal,,,
?,0.0410337, ol?n,2,2,,,no,no,nasal,,,
?,0.051623042, ol?n,2,2,,,no,no,nasal,,,
o,0.111773118, ol?n ,1,2,,,yes,no,not nasal,,,
o,0.108856631, ol?n ,1,2,,,yes,no,not nasal,,,
o,0.119532963, ol?n ,1,2,,,yes,no,not nasal,,,
o,0.093755051, olo,1,2,,,yes,no,not nasal,,,
o,0.076167692, olo,1,2,,,yes,no,not nasal,,,
o,0.081608241, olo,2,2,,,no,yes,not nasal,,,
o,0.081636438, olo ,2,2,,,no,yes,not nasal,,,
o,0.057262789, olo ,2,2,,,no,yes,not nasal,,,
a,0.097889847, oma?n,2,2,,,no,no,nasal,,,
a,0.088100862, oma?n,2,2,,,no,no,nasal,,,
a,0.110941826, oma?n,2,2,,,no,no,nasal,,,
o,0.09697943, oma?n ,1,2,,,yes,no,nasal,,,
o,0.104168701, oma?n ,1,2,,,yes,no,nasal,,,
o,0.072590732, oma?n ,1,2,,,yes,no,nasal,,,
a,0.074538561, o?asi,2,3,,,no,no,not nasal,,,
i,0.065448493, o?asi,3,3,,,no,yes,not nasal,,,
i,0.072720547, o?asi,3,3,,,no,yes,not nasal,,,
o,0.049086369, o?asi,1,3,,,yes,no,nasal,,,
o,0.046489764, o?asi,1,3,,,yes,no,nasal,,,
a,0.061812465, o?asi ,2,3,,,no,no,not nasal,,,
a,0.070902534, o?asi ,2,3,,,no,no,not nasal,,,
i,0.061812465, o?asi ,3,3,,,no,yes,not nasal,,,
o,0.066252009, o?asi ,1,3,,,yes,no,nasal,,,
a,0.127118742, opa  ,2,2,root,V,no,yes,not nasal,,,
a,0.105694235, opa  ,2,2,root,V,yes,yes,not nasal,,,
a,0.09085834, opa  ,2,2,root,V,yes,yes,not nasal,,,
o,0.058560319, opa  ,1,2,pref,V,yes,no,not nasal,,,
o,0.072843324, opa  ,1,2,pref,V,yes,no,not nasal,,,
o,0.073488363, opa  ,1,2,pref,V,yes,no,not nasal,,,
?,0.096504613, os?n,2,2,,,no,no,nasal,,,
?,0.079573979, os?n,2,2,,,no,no,nasal,,,
?,0.069415599, os?n,2,2,,,no,no,nasal,,,
o,0.085401461, os?n  ,1,2,,,yes,no,not nasal,,,
o,0.096913256, os?n  ,1,2,,,yes,no,not nasal,,,
o,0.096447939, os?n  ,1,2,,,yes,no,not nasal,,,
i,0.107063172, oyi,2,2,root,N,no,yes,not nasal,,,
i,0.109956771, oyi,2,2,root,N,no,yes,not nasal,,,
i,0.099829174, oyi,2,2,root,N,yes,yes,not nasal,,,
?,0.129404615, oyi ,1,2,pref,N,yes,no,not nasal,,,
o,0.10109067, oyi ,1,2,pref,N,yes,no,not nasal,,,
o,0.101005466, oyi ,1,2,pref,N,yes,no,not nasal,,,
u,0.116174931, oyu,2,2,root,N,yes,yes,not nasal,,,
u,0.087916164, oyu,2,2,root,N,yes,yes,not nasal,,,
u,0.058056683, oyu,2,2,root,N,yes,yes,not nasal,,,
o,0.118438733, oyu ,1,2,pref,N,yes,no,not nasal,,,
o,0.109462131, oyu ,1,2,pref,N,yes,no,not nasal,,,
o,0.09395335, oyu ,1,2,pref,N,yes,no,not nasal,,,
a,0.127188029, pa  ,1,1,roo?,V,no,yes,not nasal,,,
a,0.141581973, pa  ,1,1,roo?,V,no,yes,not nasal,,,
a,0.139722835, pa  ,1,1,roo?,V,no,yes,not nasal,,,
e,0.132058944, peya,1,2,,,no,no,not nasal,,,
e,0.120053586, peya,1,2,,,no,no,not nasal,,,
a,0.079235367, peya ,2,2,,,no,yes,not nasal,,,
a,0.074433223, peya ,2,2,,,no,yes,not nasal,,,
e,0.13834966, peya ,1,2,,,no,no,not nasal,,,
o,0.09200487, pul  ,1,1,roo?,,no,no,not nasal,,,
u,0.072718639, pul  ,1,1,roo?,V,no,no,not nasal,,,
u,0.063710827, pul  ,1,1,roo?,V,no,no,not nasal,,,
u,0.079891184, pul  ,1,1,roo?,,no,no,not nasal,,,
u,0.099717121, pul  ,1,1,roo?,,no,no,not nasal,,,
a,0.112, sabule,1,3,,,no,no,not nasal,,,
e,0.053866719, sabule,3,3,,,no,yes,not nasal,,,
u,0.043006239, sabule,2,3,,,no,no,not nasal,,,
a,0.068419017, sabule ,1,3,,,no,no,not nasal,,,
e,0.049848141, sabule ,3,3,,,no,yes,not nasal,,,
u,0.045419349, sabule ,2,3,,,no,no,not nasal,,,
u,0.087091051, s?p?,2,2,,,no,yes,not nasal,,,
?,0.091405905, s?p?,2,2,,,no,yes,not nasal,,,
?,0.076754894, s?p?,2,2,,,no,yes,not nasal,,,
?,0.046583585, s?p? ,1,2,,,no,no,not nasal,,,
?,0.03839048, s?p? ,1,2,,,no,no,not nasal,,,
?,0.042641608, s?p? ,1,2,,,no,no,not nasal,,,
i,0.047426944, sokuli,3,3,,,no,yes,not nasal,,,
i,0.056073714, sokuli,3,3,,,no,yes,not nasal,,,
o,0.052534461, sokuli,1,3,,,no,no,not nasal,,,
o,0.052709291, sokuli,1,3,,,no,no,not nasal,,,
u,0.032773676, sokuli,2,3,,,no,no,not nasal,,,
u,0.034704583, sokuli,2,3,,,no,no,not nasal,,,
i,0.040594811, sokuli ,3,3,,,no,yes,not nasal,,,
i,0.064274843, sokuli ,3,3,,,no,yes,not nasal,,,
o,0.075219796, sokuli ,1,3,,,no,no,not nasal,,,
o,0.052056875, sokuli ,1,3,,,no,no,not nasal,,,
u,0.04246535, sokuli ,2,3,,,no,no,not nasal,,,
u,0.040590713, sokuli ,2,3,,,no,no,not nasal,,,
i,0.125184081, wi  ,1,1,roo?,V,no,yes,not nasal,,,
i,0.105688199, wi  ,1,1,roo?,V,no,yes,not nasal,,,
i,0.1046621, wi  ,1,1,roo?,V,no,yes,not nasal,,,
?,0.106543282, y?  ,1,1,roo?,V,no,yes,not nasal,,,
?,0.104149051, y?  ,1,1,roo?,V,no,yes,not nasal,,,
?,0.107740397, y?  ,1,1,roo?,V,no,yes,not nasal,,,
?,0.102987827, ye  ,1,1,roo?,V,no,yes,not nasal,,,
?,0.07001421, y?  ,1,1,roo?,V,no,yes,not nasal,,,
?,0.098158858, y?  ,1,1,roo?,V,no,yes,not nasal,,,
?,0.099600012, y?  ,1,1,roo?,V,no,yes,not nasal,,,
?,0.104788344, y?  ,1,1,roo?,V,no,yes,not nasal,,,
i,0.149297408, yi  ,1,1,roo?,V,no,yes,not nasal,,,
i,0.121592734, yi  ,1,1,roo?,V,no,yes,not nasal,,,
i,0.131201265, yi  ,1,1,roo?,V,no,yes,not nasal,,,
a,0.104337922,apa,2,2,root,N,no,yes,not nasal,,,
a,0.063906977,apa,1,2,pref,N,yes,no,not nasal,,,
a,0.135059921,ca ,1,1,roo?,V,no,yes,not nasal,,,
a,0.122500995,ca ,1,1,roo?,V,no,yes,not nasal,,,
a,0.142471745,ca ,1,1,roo?,V,no,yes,not nasal,,,
?,0.083850664,c? ,1,1,roo?,V,no,yes,not nasal,,,
?,0.121283997,c? ,1,1,roo?,V,no,yes,not nasal,,,
?,0.176797351,?dun,1,2,pref,N,yes,no,not nasal,,,
?,0.114039129,?dun,1,2,pref,N,yes,no,not nasal,,,
u,0.095198574,?dun,2,2,root,N,yes,no,nasal,,,
u,0.099562705,?dun,2,2,root,N,no,no,nasal,,,
?,0.108816475,c?,1,1,roo?,V,no,yes,not nasal,,,
?,0.075632423,c?,1,1,roo?,V,no,yes,not nasal,,,
?,0.07207325,c?,1,1,roo?,V,no,yes,not nasal,,,
?,0.100208407,c??,1,1,roo?,V,no,yes,not nasal,,,
?,0.148385525,c??,1,1,roo?,V,no,yes,not nasal,,,
?,0.122048701,c??,1,1,roo?,V,no,yes,not nasal,,,
?,0.09264009,?ko?,1,2,pref,N,yes,no,not nasal,,,
?,0.083202632,?ko?,1,2,pref,N,yes,no,not nasal,,,
?,0.074530168,?ko?,1,2,pref,N,yes,no,not nasal,,,
o,0.086921566,?ko?,2,2,root,N,no,no,nasal,,,
o,0.07680243,?ko?,2,2,root,N,no,no,nasal,,,
o,0.073287999,?ko?,2,2,root,N,no,no,nasal,,,
a,0.067621548,?kpa,2,2,root,N,yes,yes,not nasal,,,
a,0.065170591,?kpa,2,2,root,N,yes,yes,not nasal,,,
a,0.074025831,?kpa,2,2,root,N,yes,yes,not nasal,,,
?,0.057218233,?kpa,1,2,pref,N,yes,no,not nasal,,,
?,0.064239582,?kpa,1,2,pref,N,yes,no,not nasal,,,
?,0.072703941,?kpa,1,2,pref,N,yes,no,not nasal,,,
?,0.099599381,??l?,2,2,root,N,no,yes,not nasal,,,
?,0.085505211,??l?,2,2,root,V,no,yes,not nasal,,,
?,0.073694432,??l?,2,2,root,V,no,yes,not nasal,,,
?,0.07713014,??l?,2,2,root,V,no,yes,not nasal,,,
?,0.079348617,??l?,1,2,pref,N,yes,no,not nasal,,,
?,0.078890445,??l?,1,2,pref,V,yes,no,not nasal,,,
?,0.091821595,??l?,1,2,pref,V,yes,no,not nasal,,,
?,0.105824342,??l?,1,2,pref,N,yes,no,not nasal,,,
?,0.080774515,?l?? ?l??,2,2,root,N,no,no,nasal,,,
?,0.064367192,?l?? ?l??,2,2,root,N,no,no,nasal,,,
?,0.078808129,?l?? ?l??,1,2,pref,N,yes,no,not nasal,,,
?,0.096268727,?l?? ?l??,1,2,pref,N,yes,no,not nasal,,,
a,0.082574333,?pa,2,2,root,N,yes,yes,not nasal,,,
a,0.095754099,?pa,2,2,root,N,yes,yes,not nasal,,,
?,0.099777319,?pa,1,2,pref,N,yes,no,not nasal,,,
?,0.085567493,?pa,1,2,pref,N,yes,no,not nasal,,,
a,0.079133736,?pa ,2,2,root,N,yes,yes,not nasal,,,
?,0.072252541,?pa ,1,2,pref,N,yes,no,not nasal,,,
?,0.138775878,??,1,1,roo?,V,no,yes,not nasal,,,
?,0.12287228,??,1,1,roo?,V,no,yes,not nasal,,,
?,0.11715729,??,1,1,roo?,V,no,yes,not nasal,,,
a,0.116924304,da,1,1,roo?,V,no,yes,not nasal,,,
a,0.106902221,da,1,1,roo?,V,no,yes,not nasal,,,
a,0.106902221,da,1,1,roo?,V,no,yes,not nasal,,,
?,0.127023692,d?,1,1,roo?,V,no,yes,not nasal,,,
?,0.132481948,d?,1,1,roo?,V,no,yes,not nasal,,,
?,0.150016324,d?,1,1,roo?,V,no,yes,not nasal,,,
?,0.150016324,d?,1,1,roo?,V,no,yes,not nasal,,,
?,0.123617347,d?,1,1,roo?,V,no,yes,not nasal,,,
u,0.154831936,du,1,1,roo?,V,no,yes,not nasal,,,
u,0.131696129,du,1,1,roo?,V,no,yes,not nasal,,,
e,0.084510423,epu,1,2,pref,N,yes,no,not nasal,,,
e,0.084510423,epu,1,2,pref,N,yes,no,not nasal,,,
e,0.064141787,epu,1,2,pref,N,yes,no,not nasal,,,
u,0.068413199,epu,2,2,root,N,yes,yes,not nasal,,,
u,0.092559034,epu,2,2,root,N,yes,yes,not nasal,,,
u,0.07111372,epu,2,2,root,N,no,yes,not nasal,,,
a,0.119333952,fal,1,1,roo?,V,no,no,not nasal,,,
a,0.092975446,fal,1,1,roo?,V,no,no,not nasal,,,
a,0.099602349,fal,1,1,roo?,V,no,no,not nasal,,,
?,0.141883211,f?,1,1,roo?,V,no,yes,not nasal,,,
?,0.12004651,f?,1,1,roo?,V,no,yes,not nasal,,,
?,0.123797964,f?,1,1,roo?,V,no,yes,not nasal,,,
a,0.082975117,g?ca,2,2,root,N,no,yes,not nasal,,,
a,0.094050099,g?ca,2,2,root,N,no,yes,not nasal,,,
?,0.061748924,g?ca,1,2,pref,N,no,no,not nasal,,,
?,0.08061437,g?ca,1,2,pref,N,no,no,not nasal,,,
?,0.055683369,g?c?,1,2,pref,N,no,no,not nasal,,,
?,0.0518854,g?c?,1,2,pref,N,no,no,not nasal,,,
?,0.056379411,g?c?,1,2,pref,N,no,no,not nasal,,,
?,0.051481184,g?c?,1,2,pref,N,no,no,not nasal,,,
?,0.063836668,g?c?,1,2,pref,N,no,no,not nasal,,,
?,0.050668323,g?c?,1,2,pref,N,no,no,not nasal,,,
?,0.076564632,g?c?,2,2,root,N,yes,yes,not nasal,,,
?,0.080710622,g?c?,2,2,root,N,yes,yes,not nasal,,,
?,0.087701306,g?c?,2,2,root,N,yes,yes,not nasal,,,
?,0.107080863,g?c?,2,2,root,N,yes,yes,not nasal,,,
?,0.084429142,g?c?,2,2,root,N,yes,yes,not nasal,,,
?,0.121603976,g?c?,2,2,root,N,yes,yes,not nasal,,,
?,0.045460144,g???,1,2,pref,N,no,no,not nasal,,,
?,0.050245571,g???,1,2,pref,N,no,no,not nasal,,,
?,0.059687012,g???,1,2,pref,N,no,no,not nasal,,,
?,0.043302342,g???,1,2,pref,N,no,no,not nasal,,,
?,0.118259956,g???,2,2,root,N,no,yes,not nasal,,,
?,0.101560196,g???,2,2,root,N,no,yes,not nasal,,,
?,0.11820369,g???,2,2,root,N,yes,yes,not nasal,,,
?,0.107670688,g???,2,2,root,N,yes,yes,not nasal,,,
?,0.049417092,g?f?,1,2,pref,N,no,no,not nasal,,,
?,0.049417092,g?f?,1,2,pref,N,no,no,not nasal,,,
?,0.045682518,g?f?,1,2,pref,N,no,no,not nasal,,,
?,0.101799209,g?f?,2,2,root,N,no,yes,not nasal,,,
?,0.097845841,g?f?,2,2,root,N,no,yes,not nasal,,,
?,0.078312887,g?f?,2,2,root,N,no,yes,not nasal,,,
a,0.087731466,g?nan,2,2,root,N,no,no,nasal,,,
a,0.059657397,g?nan,2,2,root,N,no,no,nasal,,,
a,0.087423637,g?nan,2,2,root,N,no,no,nasal,,,
?,0.061996903,g?nan,1,2,pref,N,no,no,nasal,,,
?,0.073631558,g?nan,1,2,pref,N,no,no,nasal,,,
?,0.078117298,g?nan,1,2,pref,N,no,no,nasal,,,
u,0.108830085,gudu,2,2,root,NUM,no,yes,not nasal,,,
u,0.080111035,gudu,2,2,root,NUM,no,yes,not nasal,,,
u,0.082736322,gudu,2,2,root,NUM,no,yes,not nasal,,,
u,0.07255339,gudu,1,2,roo?,NUM,no,no,not nasal,,,
u,0.075576448,gudu,1,2,roo?,NUM,no,no,not nasal,,,
u,0.102041464,gudu,1,2,roo?,NUM,no,no,not nasal,,,
u,0.090592885,gufu,2,2,root,N,yes,yes,not nasal,,,
u,0.115584026,gufu,2,2,root,N,yes,yes,not nasal,,,
u,0.118707919,gufu,2,2,root,N,yes,yes,not nasal,,,
u,0.07184953,gufu,1,2,pref,N,no,no,not nasal,,,
u,0.082783154,gufu,1,2,pref,N,no,no,not nasal,,,
u,0.08620456,gufu,1,2,pref,N,no,no,not nasal,,,
a,0.10710422,kpali,1,2,roo?,V,no,no,not nasal,,,
a,0.110937074,kpali,1,2,roo?,V,no,no,not nasal,,,
e,0.079832938,kpali,2,2,root,V,yes,yes,not nasal,,,
e,0.07640006,kpali,2,2,root,V,yes,yes,not nasal,,,
?,0.130175453,kp?,1,1,roo?,V,no,yes,not nasal,,,
?,0.125794161,kp?,1,1,roo?,V,no,yes,not nasal,,,
?,0.11601017,kp?,1,1,roo?,V,no,yes,not nasal,,,
?,0.116236497,lo?? ,2,2,root,N,yes,yes,not nasal,,,
?,0.116236497,lo?? ,2,2,root,N,no,yes,not nasal,,,
?,0.114543434,lo?? ,2,2,root,N,no,yes,not nasal,,,
o,0.071909019,lo?? ,1,2,roo?,N,no,no,nasal,,,
o,0.080774515,lo?? ,1,2,roo?,N,no,no,nasal,,,
o,0.082621493,lo?? ,1,2,roo?,N,no,no,nasal,,,
o,0.084222208,lo?o ,2,2,root,N,yes,yes,not nasal,,,
o,0.068430544,lo?o ,2,2,root,N,no,yes,not nasal,,,
o,0.080712949,lo?o ,1,2,roo?,N,no,no,nasal,,,
o,0.07895832,lo?o ,1,2,roo?,N,no,no,nasal,,,
a,0.114205793,n?a,1,1,roo?,V,no,yes,not nasal,,,
a,0.094988472,n?a,1,1,roo?,V,no,yes,not nasal,,,
a,0.098349829,n?a,1,1,roo?,V,no,yes,not nasal,,,
a,0.112981259,n?a,1,1,roo?,V,no,yes,not nasal,,,
a,0.097344383,n?a,1,1,roo?,V,no,yes,not nasal,,,
a,0.090932477,n?a,1,1,roo?,V,no,yes,not nasal,,,
a,0.116374075,n?a(li),1,2,roo?,V,no,no,not nasal,,,
a,0.116374075,n?a(li),1,2,roo?,V,no,no,not nasal,,,
i,0.066853192,n?a(li),2,2,root,V,no,no,not nasal,,,
i,0.056949015,n?a(li),2,2,root,V,no,no,not nasal,,,
a,0.10126498,n?mali,1,2,roo?,V,no,no,not nasal,,,
a,0.121330016,npa  ,1,1,roo?,,no,yes,not nasal,,,
?,0.100899829,ns?,1,1,roo?,N,no,yes,not nasal,,,
?,0.10788542,ns?,1,1,roo?,N,no,yes,not nasal,,,
?,0.092224634,ns?,1,1,roo?,N,no,yes,not nasal,,,
?,0.072801726,ns??,1,1,roo?,V,no,yes,not nasal,,,
?,0.100598748,ns??,1,1,roo?,V,no,yes,not nasal,,,
?,0.108385491,ns??,1,1,roo?,V,no,yes,not nasal,,,
a,0.076310984,?mali,1,2,roo?,V,no,no,not nasal,,,
a,0.080193506,?mali,1,2,roo?,V,no,no,not nasal,,,
a,0.071314861,?mali,1,2,roo?,V,no,no,not nasal,,,
i,0.087534834,?mali,2,2,root,V,no,yes,not nasal,,,
i,0.071314861,?mali,2,2,root,V,no,yes,not nasal,,,
o,0.11490885,o?u,1,2,pref,N,yes,no,not nasal,,,
o,0.130762585,o?u,1,2,pref,N,yes,no,not nasal,,,
o,0.133441743,o?u,1,2,pref,N,yes,no,not nasal,,,
o,0.097211197,o?u,1,2,pref,N,yes,no,not nasal,,,
o,0.114681036,o?u,1,2,pref,N,yes,no,not nasal,,,
o,0.08974425,o?u,1,2,pref,N,yes,no,not nasal,,,
u,0.100284088,o?u,2,2,root,N,no,yes,not nasal,,,
u,0.116752308,o?u,2,2,root,N,no,yes,not nasal,,,
u,0.115941186,o?u,2,2,root,N,no,yes,not nasal,,,
u,0.085869891,o?u,2,2,root,N,no,yes,not nasal,,,
u,0.083686161,o?u,2,2,root,N,no,yes,not nasal,,,
u,0.068376572,o?u,2,2,root,N,no,yes,not nasal,,,
o,0.120509742,oko ,1,2,roo?,NUM,yes,no,not nasal,,,
o,0.111619679,oko ,1,2,roo?,NUM,yes,no,not nasal,,,
o,0.081492244,oko ,1,2,roo?,NUM,yes,no,not nasal,,,
?,0.098817989,oko ,2,2,root,NUM,no,yes,not nasal,,,
?,0.093760531,oko ,2,2,root,NUM,yes,yes,not nasal,,,
?,0.080405681,oko ,2,2,root,NUM,yes,yes,not nasal,,,
a,0.081422203,sa,1,1,roo?,V,no,yes,not nasal,,,
a,0.094877567,sa,1,1,roo?,V,no,yes,not nasal,,,
a,0.066459693,sa,1,1,roo?,V,no,yes,not nasal,,,
a,0.107895564,saa,1,1,roo?,V,no,yes,not nasal,,,
a,0.119497071,saa,1,1,roo?,V,no,yes,not nasal,,,
a,0.11420959,saa,1,1,roo?,V,no,yes,not nasal,,,
a,0.150293693,sal,1,1,roo?,V,no,no,not nasal,,,
a,0.11272027,sal,1,1,roo?,V,no,no,not nasal,,,
a,0.109304504,sal,1,1,roo?,V,no,no,not nasal,,,
?,0.142924692,s?,1,1,roo?,V,no,yes,not nasal,,,
?,0.127506558,s?,1,1,roo?,V,no,yes,not nasal,,,
?,0.136350014,s?,1,1,roo?,V,no,yes,not nasal,,,

