vowel,duration,word,num_syl,syl_in_word,part_of_speech,part_of_word,first,final,nasal
ii,0.13920059337748114, kii,1,1,V,root,no,yes,not nasal
ii,0.13187424635762568, kii  ,1,1,V,root,no,yes,not nasal
ɩ,0.07415617634815419,wi,1,1,V,root,no,yes,not nasal
i,0.08736207076631786,wi,1,1,V,root,no,yes,not nasal
ɔ,0.09525299829705602, ɔŋmaŋ  ,1,2,N,pref,yes,no,nasal
a,0.06501363405865845, ɔŋmaŋ,2,2,N,root,no,no,nasal
ɔ,0.10815942478713225, ɔŋmaŋ  ,1,2,N,pref,yes,no,nasal
a,0.08249836140018374, ɔŋmaŋ,2,2,N,root,no,no,nasal
ɔ,0.11571879962157539, ɔŋmaŋ  ,1,2,N,pref,yes,no,nasal
a,0.09487311561021272, ɔŋmaŋ,2,2,N,root,no,no,nasal
ɔ,0.08719044541150822, ɔŋaŋ  ,1,2,N,pref,yes,no,nasal
a,0.0685228927152366, ɔŋaŋ,2,2,N,root,no,no,nasal
ɔ,0.10115284162723981, ɔŋaŋ  ,1,2,N,pref,yes,no,nasal
a,0.0619969029328189, ɔŋaŋ,2,2,N,root,no,no,nasal
ɔ,0.09185372639542777, ɔŋaŋ  ,1,2,N,pref,yes,no,nasal
a,0.06036540548723224, ɔŋaŋ,2,2,N,root,no,no,nasal
ə,0.05122286319772229, gəkpa  ,1,2,N,pref,no,no,not nasal
a,0.06883072242194999, gəkpa,2,2,N,root,no,yes,not nasal
ə,0.04520027285060735, gəkpa  ,1,2,N,pref,no,no,not nasal
a,0.11398329675370178, gəkpa,2,2,N,root,no,yes,not nasal
ə,0.049130731359355195, gəkpa  ,1,2,N,pref,no,no,not nasal
a,0.08647008719246685, gəkpa,2,2,N,root,no,yes,not nasal
ə,0.03521571844842697, gəkpa  ,1,2,N,pref,no,no,not nasal
a,0.08163643822138056, gəkpa,2,2,N,root,no,yes,not nasal
ə,0.044820005298021215, gəkpa  ,1,2,N,pref,no,no,not nasal
a,0.060827150047316536, gəkpa,2,2,N,root,no,yes,not nasal
ə,0.03743209233678613, gəkpa  ,1,2,N,pref,no,no,not nasal
a,0.060827150047316536, gəkpa,2,2,N,root,no,yes,not nasal
ə,0.041618576348156466, gəgba  ,1,2,N,pref,no,no,not nasal
a,0.07843500927151581, gəgba,2,2,N,root,no,yes,not nasal
ə,0.05922643557235574, gəgba  ,1,2,N,pref,no,no,not nasal
a,0.07043143689688236, gəgba,2,2,N,root,no,yes,not nasal
ə,0.04617445600757719, gəgba  ,1,2,N,pref,no,no,not nasal
a,0.07541827814569047, gəgba,2,2,N,root,no,yes,not nasal
a,0.08274462516556014, ŋmal  ,1,1,V,root,no,no,not nasal
a,0.10860232052976926, ŋmal,1,1,V,root,no,no,not nasal
a,0.09696635761588368, ŋmal  ,1,1,V,root,no,no,not nasal
u,0.07757308609271263, pul  ,1,1,V,root,no,no,not nasal
u,0.08034355345319, pul,1,1,V,root,no,no,not nasal
a,0.07843500927151581, kpa  ,1,1,V,root,no,yes,not nasal
a,0.08803929612111006, kpa,1,1,V,root,no,yes,not nasal
a,0.07843500927151581, kpa  ,1,1,V,root,no,yes,not nasal
